Name	FormID	ScrollID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Candlelight	0x043324	0x09659B	Skyrim.esm	AlterationGreen	-1	-1	-1	-1	10012
Oakflesh	0x05AD5C	0x09659C	Skyrim.esm	AlterationShield	-1	-1	-1	-1	10002
Teleport Pet: Arachnia	0x000921		ccvsvsse002-pets.esl	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Bone Wolf	0x000806		ccbgssse036-petbwolf.esl	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Demented Elytra Nymph	0x08BC17		ccbgssse025-advdsgs.esm	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Dwarven Mudcrab	0x000810		ccbgssse010-petdwarvenarmoredmudcrab.esl	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Hilda	0x00091F		ccvsvsse002-pets.esl	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Manic Elytra Nymph	0x08BC16		ccbgssse025-advdsgs.esm	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Nix-Hound	0x000811		ccbgssse035-petnhound.esl	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Skritch	0x00091D		ccvsvsse002-pets.esl	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Sweet Roll	0x000920		ccvsvsse002-pets.esl	AlterationGreen	-1	-1	-1	-1	10003
Teleport Pet: Thistle	0x00091E		ccvsvsse002-pets.esl	AlterationGreen	-1	-1	-1	-1	10003
Magelight	0x043323	0x0965A2	Skyrim.esm	AlterationGreen	-1	-1	-1	-1	10004
Stoneflesh	0x05AD5D	0x0965A3	Skyrim.esm	AlterationShield	-1	-1	-1	-1	10002
Ash Shell	0x017731		Dragonborn.esm	AlterationGreen	-1	-1	-1	-1	10004
Detect Life	0x0211EE	0x1019AE	Skyrim.esm	RestorationBlue	-1	-1	-1	-1	-1
Ironflesh	0x051B16	0x0A449B	Skyrim.esm	AlterationShield	-1	-1	-1	-1	10002
Master Transmute	0x000CDF		cckrtsse001_altar.esl	AlterationGreen	-1	-1	-1	-1	10012
Paralysis Rune	0x000D64		ccbgssse014-spellpack01.esl	AlterationGreen	-1	-1	-1	-1	10003
Telekinesis	0x01A4CC		Skyrim.esm	AlterationGreen	-1	-1	-1	-1	-1
Telekinesis Arrows	0x000829		ccbgssse002-exoticarrows.esl	ConjurationSummon	-1	-1	-1	-1	10009
Transmute	0x109111		Skyrim.esm	AlterationGreen	-1	-1	-1	-1	10012
Waterbreathing	0x05D175	0x0A449C	Skyrim.esm	AlterationGreen	-1	-1	-1	-1	10012
Ash Rune	0x0177AF		Dragonborn.esm	AlterationGreen	-1	-1	-1	-1	10003
Detect Dead	0x0211EF		Skyrim.esm	RestorationBlue	-1	-1	-1	-1	-1
Ebonyflesh	0x05AD5E	0x0A449E	Skyrim.esm	AlterationShield	-1	-1	-1	-1	10002
Paralyze	0x05AD5F	0x0A449D	Skyrim.esm	AlterationGreen	-1	-1	-1	-1	10004
Dragonhide	0x0CDB70	0x0A449D	Skyrim.esm	AlterationShield	-1	-1	-1	-1	10002
Mass Paralysis	0x0B62E6	0x021876	Skyrim.esm	AlterationGreen	-1	-1	-1	-1	10002
Equilibrium	0x0DA746		Skyrim.esm	RestorationBlue	-1	-1	-1	-1	-1
