Name	FormID	ScrollID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Bound Dagger	0x01ce06		Dragonborn.esm	ConjurationSummon	-1	-1	-1	-1	10015
Bound Sword	0x0211eb		Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10015
Conjure Familiar	0x0640b6	0x09659F	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Skeleton Minion	0x00085B		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Undying Ghost	0x00085E		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Zombie	0x000804		ccbgssse003-zombies.esl	ConjurationSummon	-1	-1	-1	-1	10003
Raise Zombie	0x07E8E1	0x09659E	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10004
Bound Battleaxe	0x0211EC		Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10015
Conjure Boneman	0x0045ba		Dawnguard.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Flame Atronach	0x0204C3	0x0965A5	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Foul Zombie	0x000806		ccbgssse003-zombies.esl	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Haunting Spirit	0x000868		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Skeleton Marksman	0x000856		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10003
Flaming Familiar	0x09CE26		Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10003
Reanimate Corpse	0x065BD7	0x0965A4	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10004
Soul Split	0x000874		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10001
Soul Trap	0x04DBA4	0x0965A7	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10011
Summon Arvak	0x00c600		Dawnguard.esm	ConjurationSummon	-1	-1	-1	-1	10003
Summon Daedric Horse	0x000B62		ccbgssse067-daedinv.esm	ConjurationSummon	-1	-1	-1	-1	10003
Banish Daedra	0x06D22C	0x0A449F	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10003
Banish Undead	0x00086A		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10003
Bound Bow	0x0211ED		Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10015
Bound Quiver	0x00080C		ccbgssse002-exoticarrows.esl	ConjurationSummon	-1	-1	-1	-1	10008
Conjure Ash Spawn	0x01cdf6		Dragonborn.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Dark Seducer Archer	0x000870		ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Dark Seducer Warrior	0x000A0B		ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Frost Atronach	0x0204C4	0x0A44A0	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Golden Saint Archer	0x00086F		ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Golden Saint Warrior	0x0008CB		ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Mistman	0x0045b8		Dawnguard.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Putrid Zombie	0x000805		ccbgssse003-zombies.esl	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Seeker	0x033c66		Dragonborn.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Skeleton Champion	0x000877		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Tomb Guardian	0x000854		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10003
Necromancer's Ritual	0x000869		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10002
Revenant	0x096D94	0x0A44A3	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10004
Conjure Ash Guardian	0x017782		Dragonborn.esm	ConjurationSummon	-1	-1	-1	-1	10003
Command Daedra	0x06F953	0x0A44A4	Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Ayleid Lich	0x147D95		ccbgssse067-daedinv.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Cursed Spectre	0x000870		ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Dragon Priest	0x10FC16		Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Dremora Lord	0x10DDEC		Skyrim.esm	ConjurationSummon	-1	-1	-1	-1	10003
