Name	FormID	ScrollID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Clairvoyance	0x021143		Skyrim.esm	IllusionGreen	-1	-1	-1	-1	-1
Courage	0x04dee8	0x0965A0	Skyrim.esm	IllusionGreen	-1	-1	-1	-1	10011
Fury	0x04deeb	0x0965A1	Skyrim.esm	IllusionRed	-1	-1	-1	-1	10004
Calm	0x04dee9	0x0965AD	Skyrim.esm	IllusionGreen	-1	-1	-1	-1	10011
Fear	0x04deea	0x0965AE	Skyrim.esm	IllusionRed	-1	-1	-1	-1	10004
Muffle	0x08f3eb	0x0965AB	Skyrim.esm	RestorationBlue	-1	-1	-1	-1	10008
Frenzy	0x04deee	0x0A44B6	Skyrim.esm	IllusionRed	-1	-1	-1	-1	10004
Frenzy Rune	0x0177b7		Dragonborn.esm	IllusionRed	-1	-1	-1	-1	10003
Orum's Aquatic Escape	0x000851		ccbgssse014-spellpack01.esl	RestorationBlue	-1	-1	-1	-1	10008
Rally	0x04deec	0x0A44B5	Skyrim.esm	IllusionGreen	-1	-1	-1	-1	10011
Fenrik's Welcome	0x00084F		ccbgssse014-spellpack01.esl	RestorationBlue	-1	-1	-1	-1	10008
Invisibility	0x027eb6	0x0A44B7	Skyrim.esm	IllusionGreen	-1	-1	-1	-1	10008
Pacify	0x04deed	0x0A44B9	Skyrim.esm	IllusionGreen	-1	-1	-1	-1	10005
Rout	0x04deef	0x0A44BA	Skyrim.esm	IllusionRed	-1	-1	-1	-1	10005
Call to Arms	0x07e8dd	0x0A44BE	Skyrim.esm	IllusionGreen	-1	-1	-1	-1	10002
Harmony	0x07e8db	0x0A44BC	Skyrim.esm	IllusionGreen	-1	-1	-1	-1	10002
Hysteria	0x07e8de	0x0A44BD	Skyrim.esm	IllusionRed	-1	-1	-1	-1	10002
Mayhem	0x07e8da	0x0A44BB	Skyrim.esm	IllusionRed	-1	-1	-1	-1	10002
Vision of the Tenth Eye	0x0b323e		Skyrim.esm	IllusionGreen	-1	-1	-1	-1	10009
