Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Conjure Stone Gargoyle	0x816	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Harvest of Bats	0x819	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Bats Form	0x818	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Blood-Flame Whirlwind	0x84C	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Cascading Torment	0x83A	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Leeching Aurora	0x843	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Conjure Herald of Torment	0x888	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Blood Implosion	0x89A	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Blood Extraction	0x89C	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Essence Drain	0x89D	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
The Eternal Legion	0x900	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Blood Tendrils	0x906	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Banquet of Bats	0x90E	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
Entropic Flame	0x91A	AncientBloodII.esl	IllusionRed	-1	-1	-1	-1	-1
