Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Vaporize	0x000D73	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Devour from Within	0x000936	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Eclipse	0x000902	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Kneel or Be Knelt	0x000904	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Lover’s Kiss	0x000900	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Ultimate Power	0x000953	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Requiem	0x000954	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Star Curse	0x000938	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Shadow Step	0x000939	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Bag of Holding	0x000937	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Pillage	0x00092A	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
The Dungeon	0x00092B	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
Star of the West	0x000908	Andromeda - Unique Standing Stones of Skyrim.esp		-1	-1	-1	-1	-1
