Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Grand Cross	0x820	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10005
Ordinance of Light	0x821	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10003
Absolution	0x822	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	-1
Retribution	0x823	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10013
Penance	0x824	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10004
Inhibition	0x829	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10002
Mass Inhibition	0x82A	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10002
Penance Arm	0x893	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10015
Penance Aura Fanning	0x826	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10003
Penance Aura Shielding	0x827	Ghostlight.esl	AlterationShield	-1	-1	-1	-1	10002
