Name	FormID	ScrollID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Conjure Skeleton	0x413541	0xE1AA13	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Spectral Dire Wolf	0x43BD62	0xE1AA26	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Skeleton Archer	0x413545	0xE1AA28	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Death Hound	0xE7FEC6	0xF68EA0	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Bound War Axe	0xDD3BED	0xE1AA18	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10015
Bound Mace	0xE01500	0xE1AA1A	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10015
Bound Shield	0xDC48DA	0xE1AA16	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10015
Conjure Spectral Sabre Cat	0x43BD66	0xE1AA2A	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Spectral Steed	0x43BD6D	0xE1AA2C	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Dremora Warrior	0x41D74F	0xE1AA2E	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Skeleton Mage	0x413549	0xE1AA30	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Gargoyle	0xE7FED0	0xF68E9D	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Dwarven Spider	0x446019		MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Ancestral Guardian	0x43BD7A	0xE1AA32	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Bound Greatsword	0xDC99E1	0xE1AA1C	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10015
Bound Warhammer	0xDED0F7	0xE1AA20	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10015
Daedric Cure	0xDB04D0		MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	-1
Soul Harvest	0x9F8524	0xE1AA3B	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10002
Conjure Spectral Bear	0x43BD6C	0xE1AA3D	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Dremora Warlock	0x42795A	0xE1AA3F	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Skeleton Warrior	0x40933C	0xE1AA42	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Volkihar Hound	0xE7FECB	0xF68EA2	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Ancestral Wizard	0x43BD82	0xE1AA44	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Ash Guardian	0xE7ADBD	0xF4A7B6	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Mark	0x45536C		MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Recall	0x45536D		MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Shalidor’s Beacon	0x455387		MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Spectral Manbeast	0x43BD72	0xE1AA48	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Skeleton Champion	0x41864C	0xE1AA4C	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Gargoyle Brute	0xE7FED5	0xF68E9E	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Ancestral Assassin	0x43BD87	0xE1AA4E	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure Ash Husk	0x45F595	0xE1AA50	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Conjure High Seeker	0x45538C	0xE1AA52	MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	10003
Oblivion’s Embrace	0xDB04D2		MysticismMagic.esp	ConjurationSummon	-1	-1	-1	-1	-1
