Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Fire Oil		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Frost Oil		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Shock Oil		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Calming Oil		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Frenzy Oil		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Paralysis Oil		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Hallowed Oil		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Amplifiy Lethality		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Dimension Door		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Arcane Thesis		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Hawkeye		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Lion’s Arrow		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Make Way for your Lord		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Merciful King		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Conjure Altar		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Spellscribe		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Charge Tap		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Rallying Standard		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Night Eye		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Bait		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Trained Rabbit		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
You Saw Nothing		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Mutiny		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Apotheosis		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Dwarven Autocannon		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Tripwire		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Spot Detection		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Disengage		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Smokescreen		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Laughing Ghost		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Perform		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Release Companion		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Horn of Sovngarde		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
Merciless Storm		Ordinator - Perks of Skyrim.esp		-1	-1	-1	-1	-1
