Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Aid	0x1EC53D	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10002
Aura of Might	0x1E7427	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10002
Aura of Vigor	0x1E7429	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10002
Aura of Thorns	0x1E742B	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10002
Mass Immortality	0x1EC531	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10002
Solar Ray	0x205A8F	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	-1
Holy Fire	0x205A91	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10002
Consecrated Ground	0x205A93	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10003
Holy Shock	0x205A94	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10002
Storm of Vengeance	0x214DC5	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10003
Suggestion	0x1D3000	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10011
Exile	0x1CDEED	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10011
Spirit Guardian	0x1D2FF0	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10002
Obedience	0x1D8106	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10011
Exodus	0x1DD20C	Triumvirate - Mage Archetypes.esp	RestorationGold	-1	-1	-1	-1	10008
