Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Call Raven	0x181F3B	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	-1
Call Rattlesnakes	0x15460A	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	-1
Call Gray Wolf	0x168A23	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	-1
Call Snow Leopard	0x168A25	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	-1
Call Hound of Hircine	0x27009A	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	-1
Druidcraft	0x28E6E9	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	10003
Force of Nature	0x28E6EB	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	10002
Wildshape	0x191252	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	10008
Impenetrable Grove	0x2A7C1B	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	-1
Chase the Horizon	0x28E6E7	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	10008
Spirit of the Oak	0x27F3B0	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	10008
Parasitic Growth	0x27F3B2	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	10004
Spirit of Thornbriar	0x27F3B8	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	10002
Bramble Growth	0x27F3B4	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	-1
Spirit of the Sun	0x27F3B6	Triumvirate - Mage Archetypes.esp	IllusionGreen	-1	-1	-1	-1	10008
