Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation	Animation2
Weak Poison	0x03a5a4	Skyrim.esm		-1	-1	-1	-1	-1
Poison	0x073f31	Skyrim.esm		-1	-1	-1	-1	-1
Potent Poison	0x073f32	Skyrim.esm		-1	-1	-1	-1	-1
Virulent Poison	0x073f33	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Poison	0x073f34	Skyrim.esm		-1	-1	-1	-1	-1
Weak Magicka Poison	0x065a65	Skyrim.esm		-1	-1	-1	-1	-1
Magicka Poison	0x073f39	Skyrim.esm		-1	-1	-1	-1	-1
Potent Magicka Poison	0x073f3a	Skyrim.esm		-1	-1	-1	-1	-1
Malign Magicka Poison	0x073f3b	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Magicka Poison	0x073f3c	Skyrim.esm		-1	-1	-1	-1	-1
Weak Stamina Poison	0x065a66	Skyrim.esm		-1	-1	-1	-1	-1
Stamina Poison	0x073f41	Skyrim.esm		-1	-1	-1	-1	-1
Potent Stamina Poison	0x073f42	Skyrim.esm		-1	-1	-1	-1	-1
Virulent Stamina Poison	0x073f43	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Stamina Poison	0x073f44	Skyrim.esm		-1	-1	-1	-1	-1
Weak Fear Poison	0x065a68	Skyrim.esm		-1	-1	-1	-1	-1
Fear Poison	0x073f5e	Skyrim.esm		-1	-1	-1	-1	-1
Potent Fear Poison	0x073f5f	Skyrim.esm		-1	-1	-1	-1	-1
Virulent Fear Poison	0x073f60	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Fear Poison	0x073f61	Skyrim.esm		-1	-1	-1	-1	-1
Weak Frenzy Poison	0x065a69	Skyrim.esm		-1	-1	-1	-1	-1
Frenzy Poison	0x073f5a	Skyrim.esm		-1	-1	-1	-1	-1
Potent Frenzy Poison	0x073f5b	Skyrim.esm		-1	-1	-1	-1	-1
Virulent Frenzy Poison	0x073f5c	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Frenzy Poison	0x073f5d	Skyrim.esm		-1	-1	-1	-1	-1
Weak Paralysis Poison	0x065a6a	Skyrim.esm		-1	-1	-1	-1	-1
Paralysis Poison	0x074a38	Skyrim.esm		-1	-1	-1	-1	-1
Potent Paralysis Poison	0x074a39	Skyrim.esm		-1	-1	-1	-1	-1
Virulent Paralysis Poison	0x074a3a	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Paralysis Poison	0x074a3b	Skyrim.esm		-1	-1	-1	-1	-1
Weak Aversion to Fire	0x065a6b	Skyrim.esm		-1	-1	-1	-1	-1
Aversion to Fire	0x073f49	Skyrim.esm		-1	-1	-1	-1	-1
Potent Aversion to Fire	0x073f4a	Skyrim.esm		-1	-1	-1	-1	-1
Malign Aversion to Fire	0x073f4b	Skyrim.esm		-1	-1	-1	-1	-1
Deadly Aversion to Fire	0x073f4c	Skyrim.esm		-1	-1	-1	-1	-1
Weak Aversion to Frost	0x065a6c	Skyrim.esm		-1	-1	-1	-1	-1
Aversion to Frost	0x073f4d	Skyrim.esm		-1	-1	-1	-1	-1
